Timestep,Accuracy (%),Total Inference Time (s),Avg Batch Time (s)
1,95.27,2.080963611602783,0.013254545296833014
5,97.54,11.33743929862976,0.07221298916324688
10,97.68,24.438509702682495,0.15565929746931526
20,97.7,53.25705432891846,0.33921690655362075
