Timestep,Accuracy (%),Total Inference Time (s),Avg Batch Time (s),Average Spikes per Image,Energy Proxy,Efficiency Score
1,95.27,2.080963611602783,0.013254545296833,3162.1476,3162.1476,0.0301282584026122
5,97.54,11.33743929862976,0.0722129891632468,20241.4828,20241.4828,0.0048188169297557586
10,97.68,24.43850970268249,0.1556592974693152,43996.0481,43996.0481,0.002220199409228303
20,97.7,53.25705432891846,0.3392169065536207,89996.4985,89996.4985,0.0010855977913407375
